"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Jalen Jones",3000,"DEN@NO 12/06/2017 08:00PM ET",2.667,"NO"
"SF/PF","Solomon Hill",3000,"DEN@NO 12/06/2017 08:00PM ET",0,"NO"
"PG","Frank Jackson",3000,"DEN@NO 12/06/2017 08:00PM ET",0,"NO"
"SG","Charles Cooke",3000,"DEN@NO 12/06/2017 08:00PM ET",2.750,"NO"
"C","Alexis Ajinca",3000,"DEN@NO 12/06/2017 08:00PM ET",0,"NO"
"SG/SF","Darrun Hilliard",3000,"MIA@SA 12/06/2017 08:30PM ET",2.167,"SA"
"PF/C","Joffrey Lauvergne",3000,"MIA@SA 12/06/2017 08:30PM ET",9.396,"SA"
"PG/SG","Derrick White",3000,"MIA@SA 12/06/2017 08:30PM ET",7.250,"SA"
"PF","Matt Costello",3000,"MIA@SA 12/06/2017 08:30PM ET",12.250,"SA"
"SF/PF","Davis Bertans",3000,"MIA@SA 12/06/2017 08:30PM ET",7.329,"SA"
"SG/SF","Rodney McGruder",3000,"MIA@SA 12/06/2017 08:30PM ET",0,"MIA"
"SF/PF","Okaro White",3000,"MIA@SA 12/06/2017 08:30PM ET",8.450,"MIA"
"PG/SG","Derrick Walton Jr.",3000,"MIA@SA 12/06/2017 08:30PM ET",1.417,"MIA"
"SG","Matt Williams",3000,"MIA@SA 12/06/2017 08:30PM ET",0,"MIA"
"PF/C","Jordan Mickey",3000,"MIA@SA 12/06/2017 08:30PM ET",8.600,"MIA"
