Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,Player,RosterPosition,PercentDrafted,FTPS,EntryFee,Winnings
87,1055521914,monds6 (1/5),0,99.8,P Jacob deGrom P Luis Castillo 2B José Altuve OF George Springer OF Khris Davis 1B Matt Olson OF Marwin González C Evan Gattis SS Aledmys Díaz 3B J.D. Davis,Nicholas Castellanos,OF,1.18,0.0,333,0
89,1055313241,tastefultides (4/5),0,99.6,P Jacob deGrom P Stephen Strasburg 3B Josh Donaldson OF Marwin González SS Didi Gregorius 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce C Juan Centeno,Corey Dickerson,OF,1.18,0.0,333,0
90,1055645049,extoneagles (1/5),0,99.0,P Lance McCullers Jr. P Michael Fulmer OF Giancarlo Stanton OF Aaron Judge 2B José Altuve SS Francisco Lindor 3B José Ramírez 1B Matt Adams C Yan Gomes OF Rajai Davis,Rougned Odor,2B,0.59,0.0,333,0
91,1055431348,Moogie (1/2),0,98.55,P James Paxton P CC Sabathia OF Giancarlo Stanton SS Trea Turner 2B José Altuve OF George Springer 3B Josh Donaldson OF Kole Calhoun C Evan Gattis 1B Albert Pujols,Eugenio Suárez,3B,0.59,21.0,333,0
92,1055308759,EmpireMaker2,0,98.45,P Jacob deGrom P Michael Wacha OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce,Nelson Cruz,OF,0.59,16.0,333,0
93,1055643208,mrgoodseats (4/5),0,98.35,P Stephen Strasburg P James Paxton 2B José Altuve OF George Springer 3B Alex Bregman SS Elvis Andrus 1B Justin Smoak OF Dee Gordon OF Matt Joyce C Mike Marjama,Robinson Canó,2B,0.59,15.0,333,0
94,1055326153,Biesterfield,0,98.2,P James Paxton P Michael Wacha OF Giancarlo Stanton 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis OF Steve Pearce 1B Matt Adams,Jean Segura,SS,0.59,5.0,333,0
95,1055399107,freddieprincstyl,0,98.0,P Matt Shoemaker P CC Sabathia OF Giancarlo Stanton OF Bryce Harper OF Aaron Judge SS Trea Turner 3B José Ramírez 2B Howie Kendrick 1B Justin Smoak C Brian McCann,Marco Estrada,P,0.59,9.55,333,0
96,1055511035,BFER14 (1/2),0,97.5,P Lance McCullers Jr. P James Paxton OF Mike Trout SS Carlos Correa C Gary Sánchez 1B Matt Olson OF Kole Calhoun 2B Jed Lowrie OF Matt Joyce 3B J.D. Davis,Jordy Mercer,SS,0.59,0.0,333,0
97,1055483258,crump11 (3/3),0,97.35,P Stephen Strasburg P James Paxton OF Mike Trout OF Khris Davis 1B Matt Olson SS Didi Gregorius C Brian McCann 2B Jed Lowrie OF Matt Joyce 3B J.D. Davis,Adam Duvall,OF,0.59,18.0,333,0
98,1055559925,HeHaithMe,0,97.25,P Jacob deGrom P James Paxton OF Aaron Judge SS Carlos Correa 3B Josh Donaldson C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce,Starling Marte,OF,0.59,0.0,333,0
99,1055567289,halliam1114,0,97.2,P James Paxton P Michael Wacha OF Mike Trout 3B Alex Bregman OF Justin Upton OF Khris Davis 1B Matt Olson SS Zack Cozart C Evan Gattis 2B Howie Kendrick,Josh Harrison,2B,0.59,0.0,333,0
100,1055364860,thepickler (2/5),0,96.55,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Mike Trout 2B José Altuve OF George Springer C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak,Francisco Cervelli,C,0.59,0.0,333,0
